field_location_lat,field_location_lng,english_project_name
13.6532561,100.5633676,"For Sale 2 storey detached house, 134 sq.w., 3bedrooms, 1bathroom, office separated, rooms for maid"
13.68071789039127,100.71553269186292,Patio Bangna-Wongwaen
13.587198284440195,100.49658904889479,Place & Park Prachauthit 90
13.643975,100.727614,Prestige Housing 2
13.602142739297687,100.62546645075494,Nirun Ville 55 Srinakarin
13.615678747184687,100.6336108433537,The Plant Thepharak - Bangna
13.6534375,100.6425625,Nue Noble Srinakarin-Lasalle
13.587887142553146,100.5088087435513,Pave - Pracha Uthit 90
13.6281875,100.6451875,Preecha Village
13.6519533,100.6069344,For Rent Samut Prakan Single House Fantasia Villa 3 Bearing BTS Bearing Mueang Samut Prakan BRE14636
13.626587709299782,100.65912519431896,Pruksa Ville 66/2 Bangna-Nhamdaeng
13.825354,100.566962,Knightsbridge Prime Ratchayothin
13.60864,100.611156,HOUSE FOR SALE IN LASALLE
13.613925741867705,100.69413846467468,Sivalee Suvarnabhumi
13.7247046,100.4958678,Voucher sena
13.665259324800887,100.70138125618824,Atoll Lanta Resort Life Bangna – Wongwaen
13.635187955367,100.65260518049,De Ville
13.6412618,100.6373643,For Rent Samut Prakan House Ladawan Srinakarin BTS Bang Na Bang Phli BRE15683
13.653597600626355,100.59183772883603,The Canvas Sukhumvit-Samrong
13.6335741,100.7548851,Prime Nature Villa
13.6600986,100.6593186,For Rent House Lakeside Villa 1 Bang Na Samut Prakan BRE9011
13.6480292,100.6853797,Tetra Bangna
13.606241,100.616903,Le Neo Srinakarin
13.606258,100.688636,Town Plus Thepharak
13.6569375,100.7049375,Summit Windmill Golf Residence
13.631096,100.654614,Suriya Perfect
13.596334,100.507017,Casa City Pracha-u-tid 90
13.5919375,100.8294375,Casa France @ Abac Bangna
13.657327794011,100.70560252457,Summit Windmill Golf Club
13.723306,100.56103,Siamese Exclusive Queens
13.6499375,100.6718125,Hip Luxury Design
13.6172195,100.7628898,VIVE Bangna-KM.7
13.695164,100.716744,Centro Onnut-Suvarnabhumi
13.6412618,100.6373643,For Sale and Rent Samut Prakan House Ladawan Srinakarin BTS Bang Na Bang Phli BRE15682
13.6335741,100.7548851,Townhouse lalil Srinakarin village near Bts Srilasal
13.643693,100.663421,Indy Bangna Km.7 (2)
13.566493,100.667127,Baan Ubon Sri
13.752222,100.49389,Thana City Nouvelle
13.870823,100.467008,Dcon Prime Rattanathibet
13.943812,100.442105,Sammakorn Chaiyapruek-Wongwaen 2
13.811496,100.341521,Villaggio Pinklao - Salaya
13.926426790233556,100.46216099738608,Manthana Chaengwattana-Ratchaphruek
13.914101,100.506769,The Kith Tiwanon
14.0390625,100.2908125,GRAND TANA
13.933057,100.363282,Baan Kunaphat 5
13.857033681983047,100.43648903296733,Grande Pleno Rattanatibeth
13.965551878461,100.66967125,Moon loft condo
13.8448335,100.3610179,Rest Bangyai
13.845455,100.396775,S-Gate Premium Kanchanpisek
13.868323,100.404958,Nonnicha Bangyai-Kaew In
13.867344984857024,100.46595440213945,Crystal Townhome
13.809332,100.482304,Passorn Pride Rama 5 - Sirindhorn
13.803056318944794,100.45046514859553,Nontsee Regent Ratchapruek
13.906563790246263,100.52954489738669,Proud X2
